key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_familiarity,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Bondoso,Novel,positive,1,0,,,,,0,0,0,0,0,17,17,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1409879999701,97.64092869998422,97.6238822999876,98.12439350003842,87.77428419992793,None,0,,97.6238822999876,97.1409879999701,91.75768289994448,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Bisbilhoteiro,Familiar,negative,1,1,,,,,0,0,0,0,0,18,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.12398439995013,101.62429569999222,101.60727300005965,102.10749209998176,91.75883429998066,None,0,,101.60727300005965,101.12398439995013,95.74079199996777,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Sem vida,Familiar,negative,1,1,,,,,0,0,0,0,0,19,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.10742689995095,105.60746460000519,105.59060049999971,106.09098880004603,95.74215189996175,None,0,,105.59060049999971,105.10742689995095,99.72403569996823,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Delicado,Novel,positive,1,0,,,,,0,0,0,0,0,20,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.09062060003635,109.5906497000251,109.57402659999207,110.07425369997509,99.72473489993718,None,0,,109.57402659999207,109.09062060003635,103.70735119993333,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Inútil,Novel,negative,1,0,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.07407970004715,113.57391340006143,113.5571190000046,114.05736370000523,103.70785429992247,None,0,,113.5571190000046,113.07407970004715,107.69107009994332,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Inteligente,Novel,positive,1,0,,,,,0,0,0,0,0,22,22,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.05712819995824,117.55720339994878,117.54072930000257,118.0406502999831,107.69176940002944,None,0,,117.54072930000257,117.05712819995824,111.67339529993478,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Bom,Novel,positive,1,0,,,,,0,0,0,0,0,23,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.04069100006018,121.54079560004175,121.52393370005302,122.02413290005643,111.67432340001687,None,0,,121.52393370005302,121.04069100006018,115.6571042999858,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Agradável,Familiar,positive,1,1,,,,,0,0,0,0,0,24,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.02394700003788,125.52381889999378,125.50704479997512,126.00728400005028,115.65770310000516,None,0,,125.50704479997512,125.02394700003788,119.64107100002002,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Engenhoso,Familiar,positive,1,1,,,,,0,0,0,0,0,25,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0070490000071,129.50704319996294,129.4902155000018,129.9904067000607,119.64159819995984,None,0,,129.4902155000018,129.0070490000071,123.6224737999728,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Lúcido,Familiar,positive,1,1,,,,,0,0,0,0,0,26,26,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.99028060003184,133.49028809997253,133.47370660002343,133.9740099000046,123.6227122999262,None,0,,133.47370660002343,132.99028060003184,127.60653180000372,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
