key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_familiarity,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.started,key_respTrial.stopped,time_trialEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Responsive,Novel,positive,1,0,,,,,0,0,0,0,0,21,21,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.29943340003956,118.79937210003845,118.78246130002663,119.28273239999544,102.25288939999882,None,0,118.78246130002663,118.29943340003956,106.23658000002615,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Dishonest,Familiar,negative,1,1,,,,,0,0,0,0,0,22,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.28264760004822,122.78262110007927,122.7660046000965,123.26664040004835,106.23751690005884,None,0,122.7660046000965,122.28264760004822,110.2204659000272,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Organised,Familiar,positive,1,1,,,,,0,0,0,0,0,23,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.2659117000876,126.76610750006512,126.74916740006302,127.24929150007665,110.22129450005013,None,0,126.74916740006302,126.2659117000876,114.2014614000218,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Warm,Novel,positive,1,0,,,,,0,0,0,0,0,24,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.24941590009257,130.7493563001044,130.7325086001074,131.2325810000766,114.20196249999572,None,0,130.7325086001074,130.24941590009257,118.18592060008086,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Scheming,Familiar,negative,1,1,,,,,0,0,0,0,0,25,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.23262210004032,134.73249419999775,134.71589950006455,135.216038600076,118.18652300001122,None,0,134.71589950006455,134.23262210004032,122.1692536000628,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Obnoxious,Novel,negative,1,0,,,,,0,0,0,0,0,26,26,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.21594240004197,138.7153969000792,138.698962100083,139.1992304000305,122.16985590010881,None,0,138.698962100083,138.21594240004197,126.15202830010094,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Intolerant,Familiar,negative,1,1,,,,,0,0,0,0,0,27,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.19901320000645,142.6992501000641,142.68233000009786,143.18244290002622,126.15262350009289,None,0,142.68233000009786,142.19901320000645,130.13490550010465,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Cheerful,Familiar,positive,1,1,,,,,0,0,0,0,0,28,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.18224740005098,146.6825576000847,146.66614650003612,147.16590510006063,130.13570390001405,None,0,146.66614650003612,146.18224740005098,134.11954560002778,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Gracious,Familiar,positive,1,1,,,,,0,0,0,0,0,29,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.16571480000857,150.6656520999968,150.64902020001318,151.1491653000703,134.12028480006848,None,0,150.64902020001318,150.16571480000857,138.1021131000016,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Wise,Familiar,positive,1,1,,,,,0,0,0,0,0,30,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.14901480008848,154.6488988000201,154.63191230001394,155.13236010004766,138.10278580000158,None,0,154.63191230001394,154.14901480008848,142.0854648000095,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Pretentious,Novel,negative,1,0,,,,,0,0,0,0,0,31,31,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.13213170005474,158.63217910006642,158.61540250002872,159.11571310006548,142.0860922000138,None,0,158.61540250002872,158.13213170005474,146.06884030008223,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Tasteless,Familiar,negative,1,1,,,,,0,0,0,0,0,32,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.115673399996,162.61559000005946,162.5986203000648,163.0988733000122,146.06947050010785,None,0,162.5986203000648,162.115673399996,150.05184210010339,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Humble,Novel,positive,1,0,,,,,0,0,0,0,0,33,33,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.09901530004572,166.59884320001584,166.58199590002187,167.08228990004864,150.0523957000114,None,0,166.58199590002187,166.09901530004572,154.03522489999887,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Forgiving,Familiar,positive,1,1,,,,,0,0,0,0,0,34,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.08207120001316,170.5820613000542,170.56533920008224,171.06573560007382,154.03584820008837,None,0,170.56533920008224,170.08207120001316,158.017872299999,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Secure,Familiar,positive,1,1,,,,,0,0,0,0,0,35,35,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.06542150001042,174.56545019999612,174.54886700003408,175.04877090000082,158.0183331000153,None,0,174.54886700003408,174.06542150001042,162.00156260002404,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Thoughtless,Familiar,positive,1,1,,,,,0,0,0,0,0,36,36,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.04902860010043,178.54884850000963,178.53199760010466,179.032052100054,162.00212180009112,None,0,178.53199760010466,178.04902860010043,165.98340450006071,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Irritable,Novel,negative,1,0,,,,,0,0,0,0,0,37,37,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0312728000572,182.53169870004058,182.51500520005357,183.01531420007814,165.9837396000512,None,0,182.51500520005357,182.0312728000572,169.96801790001336,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Ignorant,Novel,negative,1,0,,,,,0,0,0,0,0,38,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.01525210007094,186.5153720000526,186.49857300007716,186.99877689999994,169.9684778000228,None,0,186.49857300007716,186.01525210007094,173.95202010008506,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Admirable,Novel,positive,1,0,,,,,0,0,0,0,0,39,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.99850960006006,190.4985592000885,190.4816473000683,190.9819580001058,173.95270160003565,None,0,190.4816473000683,189.99850960006006,177.93497130007017,11,99,marlene,1,1,2024_Aug_01_2042,EMEM_140222,2021.2.3,60.007548951253106,
